episode,steps,duration (seconds),episode reward,mean reward
1,83,1.041,-141.641,-1.707
2,75,0.157,-129.249,-1.723
3,105,0.253,-352.492,-3.357
4,88,0.183,-284.525,-3.233
5,66,0.166,-136.113,-2.062
6,102,0.249,-243.501,-2.387
7,97,0.207,-179.39,-1.849
8,101,0.265,-387.931,-3.841
9,106,0.335,-185.3,-1.748
10,102,0.276,-325.906,-3.195
11,93,0.268,-156.371,-1.681
12,120,0.289,-274.683,-2.289
13,71,0.167,-127.536,-1.796
14,74,0.255,-344.795,-4.659
15,124,0.286,-159.348,-1.285
16,109,0.221,-129.89,-1.192
17,118,0.267,-281.469,-2.385
18,111,0.225,-302.702,-2.727
19,97,0.21,-334.936,-3.453
20,112,0.255,-171.911,-1.535
21,78,0.162,-245.927,-3.153
22,129,0.284,-183.179,-1.42
23,80,0.159,-254.581,-3.182
24,87,0.2,-358.821,-4.124
25,78,0.162,-312.324,-4.004
26,70,0.156,-79.479,-1.135
27,118,0.263,-412.837,-3.499
28,91,0.246,-129.134,-1.419
29,91,0.471,-429.567,-4.721
30,104,0.274,-215.498,-2.072
31,113,0.236,-205.534,-1.819
32,77,0.353,-315.42,-4.096
33,98,0.229,-390.96,-3.989
34,100,0.277,-184.705,-1.847
35,118,0.325,-140.293,-1.189
36,103,0.295,-331.199,-3.216
37,72,0.286,-162.915,-2.263
38,84,0.166,-148.36,-1.766
39,96,0.211,-341.093,-3.553
40,78,0.153,-270.67,-3.47
41,110,0.39,-406.313,-3.694
42,94,0.234,-145.268,-1.545
43,103,0.219,-172.475,-1.675
44,96,0.222,-314.072,-3.272
45,86,0.365,-206.314,-2.399
46,89,0.173,-228.74,-2.57
47,74,0.182,-308.311,-4.166
48,86,0.273,-485.745,-5.648
49,72,0.148,-161.856,-2.248
50,75,0.173,-160.259,-2.137
51,72,0.146,-172.784,-2.4
52,106,0.249,-273.808,-2.583
53,53,0.114,-221.544,-4.18
54,96,3.033,-266.325,-2.774
55,105,1.493,-490.07,-4.667
56,77,1.209,-175.689,-2.282
57,73,1.196,-142.003,-1.945
58,133,1.959,-258.646,-1.945
59,66,0.965,-162.688,-2.465
60,72,1.018,-140.376,-1.95
61,86,1.183,-182.146,-2.118
62,69,1.012,-156.001,-2.261
63,107,1.513,-195.164,-1.824
64,67,0.994,-161.589,-2.412
65,64,0.936,-120.338,-1.88
66,92,1.265,-434.262,-4.72
67,78,1.153,-127.926,-1.64
68,108,1.782,-172.115,-1.594
69,117,1.684,-273.489,-2.338
70,138,1.903,-130.374,-0.945
71,96,1.351,-191.307,-1.993
72,74,1.071,-128.579,-1.738
73,63,0.91,-147.279,-2.338
74,111,1.576,-188.653,-1.7
75,70,0.998,-161.433,-2.306
76,70,0.995,-143.813,-2.054
77,111,1.563,-206.082,-1.857
78,98,1.424,-278.717,-2.844
79,66,0.959,-100.987,-1.53
80,114,1.609,-287.455,-2.522
81,95,1.376,-421.244,-4.434
82,95,1.349,-338.4,-3.562
83,66,0.962,-118.487,-1.795
84,190,2.771,-192.721,-1.014
85,72,1.017,-80.099,-1.112
86,73,1.024,-359.693,-4.927
87,65,0.955,-122.341,-1.882
88,100,1.448,-160.825,-1.608
89,109,1.602,-216.227,-1.984
90,103,1.477,-168.175,-1.633
91,125,1.795,-247.644,-1.981
92,94,1.313,-120.797,-1.285
93,69,1.021,-146.147,-2.118
94,112,1.618,-338.117,-3.019
95,81,1.186,-129.858,-1.603
96,124,1.783,-421.087,-3.396
97,81,1.12,-123.779,-1.528
98,61,0.865,-144.604,-2.371
99,85,1.225,-546.728,-6.432
100,74,1.072,-118.906,-1.607
101,94,1.344,-214.862,-2.286
102,107,1.523,-149.372,-1.396
103,80,1.124,-185.922,-2.324
104,117,1.689,-270.617,-2.313
105,97,1.411,-392.704,-4.048
106,72,1.023,-149.464,-2.076
107,64,0.898,-143.016,-2.235
108,68,0.964,-130.297,-1.916
109,101,1.399,-183.335,-1.815
110,72,1.017,-121.611,-1.689
111,129,1.813,-468.451,-3.631
112,83,1.184,-434.629,-5.236
113,89,1.296,-178.146,-2.002
114,72,1.082,-228.282,-3.171
115,79,1.169,-381.778,-4.833
116,74,1.059,-160.337,-2.167
117,78,1.129,-152.567,-1.956
118,69,0.973,-176.94,-2.564
119,115,1.626,-171.339,-1.49
120,65,0.914,-150.411,-2.314
121,103,1.465,-196.886,-1.912
122,98,1.415,-157.186,-1.604
123,72,1.064,-85.196,-1.183
124,74,1.072,-128.803,-1.741
125,105,1.493,-159.146,-1.516
126,110,1.591,-125.349,-1.14
127,118,1.652,-273.427,-2.317
128,61,0.908,-107.491,-1.762
129,75,1.091,-141.58,-1.888
130,106,1.524,-388.898,-3.669
131,97,1.376,-96.118,-0.991
132,59,0.846,-193.156,-3.274
133,102,1.409,-397.893,-3.901
134,111,1.572,-187.694,-1.691
135,67,0.977,-101.707,-1.518
136,108,1.559,-179.588,-1.663
137,90,1.295,-260.475,-2.894
138,85,1.228,-146.556,-1.724
139,96,1.411,-305.066,-3.178
140,118,1.715,-324.024,-2.746
141,103,1.54,-472.977,-4.592
142,103,1.487,-176.957,-1.718
143,79,1.12,-308.782,-3.909
144,63,0.909,-134.953,-2.142
145,101,1.421,-163.772,-1.622
146,95,1.349,-14.563,-0.153
147,87,1.229,-214.842,-2.469
148,97,1.349,-395.209,-4.074
149,72,1.001,-131.441,-1.826
150,82,1.169,-134.426,-1.639
151,82,1.194,-99.132,-1.209
152,109,1.534,-164.535,-1.509
153,96,1.359,-446.472,-4.651
154,103,1.441,-281.687,-2.735
155,112,1.33,-185.821,-1.659
156,69,0.832,-180.292,-2.613
157,113,1.48,-449.881,-3.981
158,97,1.204,-250.074,-2.578
159,110,1.385,-343.851,-3.126
160,68,0.977,-129.085,-1.898
161,67,0.875,-226.37,-3.379
162,115,1.39,-250.7,-2.18
163,102,1.514,-377.538,-3.701
164,132,1.912,-166.039,-1.258
165,112,1.595,-301.81,-2.695
166,67,0.994,-270.198,-4.033
167,85,1.241,-232.362,-2.734
168,111,1.635,-187.562,-1.69
169,82,1.198,-146.454,-1.786
170,112,1.903,-143.842,-1.284
171,64,1.013,-120.73,-1.886
172,65,1.04,-97.088,-1.494
173,78,1.138,-124.083,-1.591
174,93,1.389,-378.921,-4.074
175,113,1.663,-190.361,-1.685
176,77,1.109,-168.47,-2.188
177,76,1.086,-115.237,-1.516
178,79,1.132,-111.729,-1.414
179,117,1.662,-255.553,-2.184
180,73,1.024,-146.389,-2.005
181,65,1.002,-205.284,-3.158
182,81,1.194,-257.64,-3.181
183,69,0.987,-162.512,-2.355
184,68,0.978,-122.985,-1.809
185,89,1.258,-303.117,-3.406
186,134,1.925,-463.44,-3.459
187,59,0.852,-201.459,-3.415
188,97,1.413,-302.883,-3.123
189,86,1.207,-172.491,-2.006
190,61,0.921,-150.582,-2.469
191,57,0.871,-104.844,-1.839
192,105,1.498,-360.787,-3.436
193,96,1.366,-432.772,-4.508
194,114,1.65,-160.882,-1.411
195,107,1.551,-298.499,-2.79
196,132,2.021,-302.04,-2.288
197,110,1.596,-142,-1.291
198,66,0.917,-138.348,-2.096
199,70,1.037,-231.319,-3.305
200,103,1.455,-377.536,-3.665
201,85,1.246,-120.137,-1.413
202,83,1.2,-394.067,-4.748
203,96,1.404,-163.167,-1.7
204,105,1.531,-351.188,-3.345
205,78,1.092,-341.952,-4.384
206,105,1.546,-171.169,-1.63
207,101,1.504,-215.437,-2.133
208,58,0.806,-182.396,-3.145
209,119,1.694,-163.867,-1.377
210,115,1.663,-143.273,-1.246
211,86,1.187,-280.94,-3.267
212,72,1.031,-132.725,-1.843
213,85,1.23,-370.469,-4.358
214,108,1.603,-153.113,-1.418
215,65,0.958,-166.052,-2.555
216,92,1.313,-257.14,-2.795
217,74,1.031,-132.403,-1.789
218,96,1.367,-277.882,-2.895
219,80,1.154,-273.077,-3.413
220,96,1.342,-453.335,-4.722
221,70,1.014,-102.684,-1.467
222,99,1.43,-155.319,-1.569
223,105,1.495,-154.917,-1.475
224,72,1.015,-156.638,-2.176
225,145,2.046,-97.383,-0.672
226,95,1.371,-212.104,-2.233
227,79,1.121,-154.313,-1.953
228,98,1.422,-352.144,-3.593
229,112,1.6,-361.946,-3.232
230,82,1.19,-243.88,-2.974
231,109,1.55,-267.396,-2.453
232,80,1.157,-222.681,-2.784
233,66,1.006,-135.159,-2.048
234,82,1.213,-147.252,-1.796
235,81,1.183,-161.131,-1.989
236,70,1.03,-172.479,-2.464
237,132,1.945,-190.511,-1.443
238,88,1.311,-146.185,-1.661
239,104,1.97,-386.969,-3.721
240,140,2.173,-86.955,-0.621
241,108,1.644,-179.455,-1.662
242,116,1.73,-126.414,-1.09
243,71,1.093,-237.033,-3.338
244,87,1.269,-236.581,-2.719
245,79,1.143,-153.104,-1.938
246,88,1.299,-194.928,-2.215
247,88,1.375,-342.444,-3.891
248,68,1.031,-265.01,-3.897
249,73,1.098,-149.799,-2.052
250,126,1.912,-193.798,-1.538
251,70,1.095,-156.614,-2.237
252,86,1.32,-297.249,-3.456
253,90,1.366,-235.452,-2.616
254,112,1.604,-429.955,-3.839
255,68,0.993,-225.286,-3.313
256,100,1.428,-192.76,-1.928
257,79,1.152,-159.605,-2.02
258,76,1.089,-116.191,-1.529
259,94,1.33,-302.488,-3.218
260,64,0.917,-165.921,-2.593
261,93,1.366,-166.061,-1.786
262,119,1.716,-295.451,-2.483
263,162,2.318,-170.108,-1.05
